Processor,"Card Type","Merchant Group",Customers,"Attempted Captured Charges","Declined Captured Charges","Decline Capture Rate","Declined Net Product Revenue","Successful Captured Charges","Successful Capture Rate","Success Gross Product Revenue","Rewards Applied","Discounts Applied","Discount Rate","Successful Net Product Revenue","Shipping Revenue","Tax Collected","Gift Cards Applied",Revenue,Processed,Adjustments,"Adjustment Rate","Successful Refunds","Declined Refunds","Refund Rate","Refunded Revenue","Refunded Revenue Rate","Full Refunds","Full Refund Rate","Partial Refunds","Partial Refund Rate","Successful Voids","Declined Voids","Void Rate","Voided Revenue","Voided Revenue Rate",Chargebacks,"Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Cost of Revenue","Cost of Goods Sold","Ad Spend","Chargeback Fees","Alert Fees","Processing Fees",Profit,"Profit Margin"
QUANTUM,Mastercard,SalesShield,946,966,861,89.13%,"$79,222.49",105,10.87%,"$9,566.65",$0.00,$0.00,0.00%,"$9,566.65",$0.00,$0.00,$0.00,"$9,566.65","$9,566.65",$98.89,1.03%,1,0,0.95%,$98.89,1.03%,1,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$9,467.76",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,467.76",98.97%
QUANTUM,Mastercard,SpecifiConLLC,"1,202","1,153",645,55.94%,"$29,974.91",508,44.06%,"$21,851.01",$0.00,$0.00,0.00%,"$21,851.01",$0.00,$0.00,$0.00,"$21,851.01","$21,851.01","$6,003.60",27.48%,3,1,0.59%,$159.62,0.73%,3,100.00%,0,0.00%,3,1,0.59%,$73.62,0.34%,5,0.98%,$443.40,2.03%,101,19.88%,"$5,326.96",24.38%,"$15,847.41","$1,496.36",$0.00,$0.00,$175.00,$0.00,"$1,321.36","$14,351.05",65.68%
QUANTUM,Mastercard,UniquePlusLLC,"1,207","1,132",623,55.04%,"$28,414.77",509,44.96%,"$21,797.58",$0.00,$0.00,0.00%,"$21,797.58",$0.00,$0.00,$0.00,"$21,797.58","$21,797.58","$8,839.37",40.55%,1,1,0.20%,$98.89,0.45%,1,100.00%,0,0.00%,4,0,0.79%,$86.51,0.40%,14,2.75%,$938.36,4.30%,140,27.50%,"$7,715.61",35.40%,"$12,958.21","$1,804.38",$0.00,$0.00,$490.00,$0.00,"$1,314.38","$11,153.83",51.17%
QUANTUM,Visa,BrightAdvantageLLC,"2,075","2,056","1,606",78.11%,"$69,026.06",450,21.89%,"$12,415.95",$0.00,$0.00,0.00%,"$12,415.95",$0.00,$0.00,$0.00,"$12,415.95","$12,415.95","$1,958.44",15.77%,9,0,2.00%,$402.90,3.25%,8,88.89%,1,11.11%,2,1,0.44%,$25.78,0.21%,1,0.22%,$12.89,0.10%,35,7.78%,"$1,516.87",12.22%,"$10,457.51","$1,065.45",$0.00,$0.00,$35.00,$0.00,"$1,030.45","$9,392.06",75.65%
QUANTUM,Visa,DiamondSphereLLC,"2,367","2,360","1,962",83.14%,"$85,648.87",398,16.86%,"$12,309.34",$0.00,$0.00,0.00%,"$12,309.34",$0.00,$0.00,$0.00,"$12,309.34","$12,309.34","$2,539.16",20.63%,12,1,3.02%,$470.08,3.82%,8,66.67%,4,33.33%,12,2,3.02%,$310.58,2.52%,2,0.50%,$95.68,0.78%,46,11.56%,"$1,662.82",13.51%,"$9,770.18","$1,156.09",$0.00,$0.00,$70.00,$0.00,"$1,086.09","$8,614.09",69.98%
QUANTUM,Visa,SalesShield,"1,819","1,836","1,716",93.46%,"$164,334.99",120,6.54%,"$10,590.55",$0.00,$0.00,0.00%,"$10,590.55",$0.00,$0.00,$0.00,"$10,590.55","$10,590.55",$132.61,1.25%,2,0,1.67%,$132.61,1.25%,0,0.00%,2,100.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$10,457.94",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,457.94",98.75%
QUANTUM,Visa,SpecifiConLLC,"2,308","2,298","1,871",81.42%,"$78,828.52",427,18.58%,"$12,729.93",$0.00,$0.00,0.00%,"$12,729.93",$0.00,$0.00,$0.00,"$12,729.93","$12,729.93","$2,555.59",20.08%,18,0,4.22%,$982.38,7.72%,11,61.11%,7,38.89%,4,0,0.94%,$121.46,0.95%,1,0.23%,$12.89,0.10%,29,6.79%,"$1,438.86",11.30%,"$10,174.34","$1,129.53",$0.00,$0.00,$35.00,$0.00,"$1,094.53","$9,044.81",71.05%
QUANTUM,Visa,UniquePlusLLC,"2,361","2,356","1,837",77.97%,"$78,623.68",519,22.03%,"$13,935.78",$0.00,$0.00,0.00%,"$13,935.78",$0.00,$0.00,$0.00,"$13,935.78","$13,935.78","$2,407.14",17.27%,6,4,1.16%,$271.06,1.95%,5,83.33%,1,16.67%,8,1,1.54%,$363.87,2.61%,3,0.58%,$38.67,0.28%,43,8.29%,"$1,733.54",12.44%,"$11,528.64","$1,270.98",$0.00,$0.00,$105.00,$0.00,"$1,165.98","$10,257.66",73.61%
SIGNAPAY,Mastercard,BrightAdvantageLLC,643,594,356,59.93%,"$16,519.91",238,40.07%,"$13,096.86",$0.00,$0.00,0.00%,"$13,096.86",$0.00,$0.00,$0.00,"$13,096.86","$13,096.86","$5,219.63",39.85%,2,0,0.84%,$97.28,0.74%,1,50.00%,1,50.00%,3,0,1.26%,$124.67,0.95%,6,2.52%,$389.14,2.97%,80,33.61%,"$4,608.54",35.19%,"$7,877.23",$982.76,$0.00,$0.00,$210.00,$0.00,$772.76,"$6,894.47",52.64%
SIGNAPAY,Mastercard,DiamondSphereLLC,745,690,394,57.10%,"$18,502.33",296,42.90%,"$11,594.95",$0.00,$0.00,0.00%,"$11,594.95",$0.00,$0.00,$0.00,"$11,594.95","$11,594.95","$5,306.69",45.77%,1,0,0.34%,$12.89,0.11%,1,100.00%,0,0.00%,2,0,0.68%,$25.78,0.22%,7,2.36%,$539.08,4.65%,92,31.08%,"$4,728.94",40.78%,"$6,288.26",$961.55,$0.00,$0.00,$245.00,$0.00,$716.55,"$5,326.71",45.94%
SIGNAPAY,Mastercard,SpecifiConLLC,52,46,24,52.17%,"$2,271.26",22,47.83%,"$2,073.48",$0.00,$0.00,0.00%,"$2,073.48",$0.00,$0.00,$0.00,"$2,073.48","$2,073.48",$561.24,27.07%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,2,9.09%,$197.78,9.54%,5,22.73%,$363.46,17.53%,"$1,512.24",$182.78,$0.00,$0.00,$70.00,$0.00,$112.78,"$1,329.46",64.12%
SIGNAPAY,Mastercard,UniquePlusLLC,484,450,262,58.22%,"$9,815.47",188,41.78%,"$7,630.68",$0.00,$0.00,0.00%,"$7,630.68",$0.00,$0.00,$0.00,"$7,630.68","$7,630.68","$2,985.55",39.13%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,1,0,0.53%,$12.89,0.17%,6,3.19%,$284.29,3.73%,54,28.72%,"$2,688.37",35.23%,"$4,645.13",$680.78,$0.00,$0.00,$210.00,$0.00,$470.78,"$3,964.35",51.95%
SIGNAPAY,Visa,BrightAdvantageLLC,"1,309","1,292","1,050",81.27%,"$46,771.42",242,18.73%,"$8,313.71",$0.00,$0.00,0.00%,"$8,313.71",$0.00,$0.00,$0.00,"$8,313.71","$8,313.71","$2,353.14",28.30%,6,0,2.48%,$228.01,2.74%,3,50.00%,3,50.00%,5,0,2.07%,$236.45,2.84%,4,1.65%,$143.62,1.73%,28,11.57%,"$1,745.06",20.99%,"$5,960.57",$813.31,$0.00,$0.00,$140.00,$0.00,$673.31,"$5,147.26",61.91%
SIGNAPAY,Visa,DiamondSphereLLC,"1,570","1,558","1,209",77.60%,"$52,354.76",349,22.40%,"$9,671.87",$0.00,$0.00,0.00%,"$9,671.87",$0.00,$0.00,$0.00,"$9,671.87","$9,671.87","$2,041.73",21.11%,8,0,2.29%,$514.82,5.32%,6,75.00%,2,25.00%,4,0,1.15%,$137.56,1.42%,2,0.57%,$25.78,0.27%,29,8.31%,"$1,363.57",14.10%,"$7,630.14",$863.77,$0.00,$0.00,$70.00,$0.00,$793.77,"$6,766.37",69.96%
SIGNAPAY,Visa,SpecifiConLLC,109,101,93,92.08%,"$8,686.27",8,7.92%,$637.97,$0.00,$0.00,0.00%,$637.97,$0.00,$0.00,$0.00,$637.97,$637.97,$711.17,111.47%,2,2,25.00%,$98.88,15.50%,0,0.00%,2,100.00%,0,0,0.00%,$0.00,0.00%,6,75.00%,$513.40,80.47%,1,12.50%,$98.89,15.50%,$-73.20,$262.07,$0.00,$0.00,$210.00,$0.00,$52.07,$-335.27,-52.55%
SIGNAPAY,Visa,UniquePlusLLC,"1,044","1,032",819,79.36%,"$29,538.82",213,20.64%,"$6,277.99",$0.00,$0.00,0.00%,"$6,277.99",$0.00,$0.00,$0.00,"$6,277.99","$6,277.99","$1,526.68",24.32%,2,0,0.94%,$117.84,1.88%,2,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,8,3.76%,$523.08,8.33%,22,10.33%,$885.76,14.11%,"$4,751.31",$799.49,$0.00,$0.00,$280.00,$0.00,$519.49,"$3,951.82",62.95%
